GEOID,area
55003,927712405.9647375
55043,98445824.61374812
55113,831426137.7308836
55023,73217506.37070243
55037,198354718.58308774
55051,1210378573.5373206
55069,486100533.87669283
55075,1105066761.1219273
55111,198898633.02543256
55001,124767008.73110434
55011,124511835.89995885
55007,1258013440.9620442
55057,389285757.3893166
55121,21479273.17052854
55123,117433159.91789465
55077,32454430.89891336
55085,973279867.1949538
55105,28725203.86126707
55119,118434819.74505264
55067,1282069540.1491694
55073,448789817.06656647
55127,61359050.113851815
55025,218778015.8954618
55039,90418233.41685866
55059,58078782.916690625
55015,46837017.30684007
55021,70404216.29966915
55005,106277019.51601498
55089,36216165.785312474
55091,42371262.16521387
55071,46878528.6851374
55083,613333996.8058825
55049,111750526.96231802
55031,1574441424.1846938
55101,23295405.74643069
55129,529333367.7267691
55135,30073887.765108317
55093,39477999.28669674
55097,156934802.79229033
55141,369740988.5099972
55027,174681372.94844422
55133,98402497.87001726
55045,24555926.61481441
55033,288949500.6867216
55087,83287231.54810223
55017,200587389.18402517
55019,536851666.9590732
55109,115405902.20490623
55137,23467058.198313788
55115,192725200.6136072
55095,217789263.9363877
55125,940870957.9708658
55053,769852345.1413469
55047,33106911.600413878
55055,79892759.32476228
55041,490757938.33132577
55103,296543398.2037474
55065,20985737.98911059
55078,819754299.4411017
55013,771571503.7960404
55009,89091428.84482683
55061,1834270.5540165922
55063,159363181.92439562
55131,65990932.36022572
55035,259377513.75563678
55099,452389481.41888285
55107,447439849.6221359
55117,92309523.49560706
55139,51717028.08391774
55029,116224452.41720767
55081,89582088.5562598
55079,35198562.262244225
